Charity Name,EIN,Source,Type,Notes
Business Leaders for Sensible Priorities: Burlington,16-1543133,WEB_VERIFIED,"Other, General Aid",Now Business Leaders for Sensible Priorities Inc
Cure Autism Now,95-4542637,WEB_VERIFIED,Health/Mother and child support ,Merged with Autism Speaks in 2007
Down Syndrome Research and Treatment Foundation,37-1483975,WEB_VERIFIED,Health/Mother and child support ,Now LuMind IDSC Foundation
Level Playing Field Institute,91-2088635,WEB_VERIFIED,Education/Equity,Now SMASH (Summer Math and Science Honors)
Live In Peace,45-2301493,WEB_VERIFIED,Education/Equity,Small Bay Area nonprofit
Menlo-Atherton Cooperative Nursery School,94-2543222,WEB_VERIFIED,Education/Equity,
Mission of Hope: Haiti,13-4207776,WEB_VERIFIED,International Welfare,
Noah's Light Foundation,27-1804403,WEB_VERIFIED,Health/Mother and child support ,Small pediatric brain cancer charity
Peninsula Community Foundation,20-5205488,WEB_VERIFIED,General Aid,Merged into Silicon Valley Community Foundation (SVCF)
Pound Puppy Rescue Inc.,20-2913652,WEB_VERIFIED,Animals,Small rescue org
Princess Project,20-1392257,WEB_VERIFIED,Other,SF-based prom dress charity
San Jose News Bureau,82-5355128,WEB_VERIFIED,Factual Information/Journalism,
Susan G. Komen Breast Cancer Foundation: San Francisco,75-1835298,WEB_VERIFIED,Health/Mother and child support ,National org EIN - SF affiliate (75-2462834) now consolidated
Taube Philanthropies,94-2702180,WEB_VERIFIED,Other,Taube Family Foundation EIN - umbrella name for multiple Taube entities
PARSA Community Foundation,20-4136618,WEB_VERIFIED,N/A,Dissolved ~2011
Avon Walk for Breast Cancer,47-5070120,WEB_VERIFIED,Health/Mother and child support ,May be fiscally sponsored entity
Billings Middle School,91-1107067,WEB_VERIFIED,Education/Equity,WA state school - verify location match
Communities in Schools of the Peninsula,91-2024847,WEB_VERIFIED,Education/Equity,GuideStar - may be WA state not CA
Crossroads Student Travel,02-0537971,Carsen,Education/Equity,May no longer be active
East Mission Initiatives,46-0945785,Carsen,Education/Equity,Part of Mission Bit
Freshwater Haven,94-3389959,Carsen,Education/Equity,
Laurel-Encinal PTO,,NOT_FOUND,Education/Equity,May be joint entity of Laurel and Encinal PTOs - no separate EIN found
Robert Packard Foundation for ALS Research,52-0595110,Carsen,Health/Mother and child support ,May be partnered with Johns Hopkins
San Francisco ICG 2008,,NOT_FOUND,N/A,International Children's Games 2008 - one-time event org not found
Town of Atherton,,N/A,Other,"Government entity, may be the disaster response arm "
YC Org,,NOT_FOUND,Tech,Could not determine specific nonprofit entity - YC Research now OpenResearch
